set_id,manifest,profile_id,workload,case_id,n,batch,threads_field,timing_mode,run_count,fwd_ms_mean,fwd_ms_std,bwd_ms_mean,bwd_ms_std,fwd_gflops_std,bwd_gflops_std,mem_mb_mean,fwd_gflops_mean,bwd_gflops_mean,mkl_fwd_profile,mkl_fwd_ms,mkl_fwd_gflops,mkl_bwd_profile,mkl_bwd_ms,mkl_bwd_gflops,fwd_gflops_speedup_vs_mkl,bwd_gflops_speedup_vs_mkl,fwd_latency_speedup_vs_mkl,bwd_latency_speedup_vs_mkl,gpu_beats_mkl_fwd,gpu_beats_mkl_bwd
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b1024,32,1024,1,compute,1,0.003027,0.0,0.003029,0.0,0.0,0.0,0.5,270.613112,270.470156,avx512_logical,0.003503,233.86,avx512_phys,0.00276,296.81,1.1571586077140168,0.9112568848758464,1.1572514040303932,0.9111918124793661,True,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b2048,32,2048,1,compute,1,0.003226,0.0,0.003226,0.0,0.0,0.0,1.0,507.936512,507.936512,avx512_phys,0.004562,359.14,avx512_phys,0.004138,395.94,1.4143133931057528,1.2828623326766682,1.4141351518908865,1.2827030378177309,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b4096,32,4096,1,compute,1,0.004184,0.0,0.004045,0.0,0.0,0.0,2.0,783.1740300000001,810.126606,avx512_logical,0.006264,523.12,avx512_logical,0.00641,511.2,1.4971211767854415,1.58475470657277,1.4971319311663478,1.584672435105068,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b8192,32,8192,1,compute,1,0.005478,0.0,0.005478,0.0,0.0,0.0,4.0,1196.261684,1196.261684,avx512_logical,0.010855,603.74,avx512_logical,0.011005,595.51,1.9814186305363237,2.00880200836258,1.9815626140927345,2.0089448703906534,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b16384,32,16384,1,compute,1,0.012643,0.0,0.01253,0.0,0.0,0.0,8.0,1036.6995569999997,1046.098866,avx512_logical,0.020514,638.94,avx512_logical,0.020351,644.06,1.6225303737440129,1.624225795733317,1.6225579371984498,1.6241819632881087,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b32768,32,32768,1,compute,1,0.026214,0.0,0.026317,0.0,0.0,0.0,16.0,1000.0000030000001,996.108922,avx512_phys,0.115001,227.95,avx512_phys,0.115188,227.58,4.386926970826936,4.376961604710432,4.387006942854963,4.376942660637611,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b65536,32,65536,1,compute,1,0.050586,0.0,0.050598,0.0,0.0,0.0,32.0,1036.437293,1036.1750399999999,avx512_phys,0.482707,108.61,avx512_logical,0.458401,114.37,9.542742776908204,9.059849960654017,9.542304194836516,9.05966638997589,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b1,64,1,1,compute,1,0.002355,0.0,0.002406,0.0,0.0,0.0,0.0,0.815217,0.797872,avx512_phys,4.6e-05,41.74,avx512_phys,4.8e-05,40.0,0.019530833732630568,0.0199468,0.01953290870488323,0.0199501246882793,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b2,64,2,1,compute,1,0.002406,0.0,0.002402,0.0,0.0,0.0,0.0,1.595745,1.598934,avx512_phys,7.2e-05,53.33,avx512_phys,6.8e-05,56.47,0.029922088880555035,0.028314751195324953,0.029925187032418952,0.028309741881765195,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b4,64,4,1,compute,1,0.002355,0.0,0.002406,0.0,0.0,0.0,0.0,3.260869,3.1914890000000002,avx512_phys,0.000118,65.08,avx512_phys,0.000112,68.57,0.050105547019053474,0.04654351757328278,0.05010615711252654,0.04655029093931837,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b8,64,8,1,compute,1,0.002406,0.0,0.002406,0.0,0.0,0.0,0.01,6.382979000000001,6.382979000000001,baseline_sse42_1t,0.000593,25.9,baseline_sse42_1t,0.000778,19.74,0.24644706563706567,0.3233525329280649,0.24646716541978386,0.3233582709891937,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b16,64,16,1,compute,1,0.002458,0.0,0.002458,0.0,0.0,0.0,0.02,12.500000000000002,12.500000000000002,baseline_sse42_1t,0.001152,26.67,baseline_sse42_1t,0.001176,26.12,0.46869141357330335,0.47856049004594187,0.46867371847030104,0.4784377542717656,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b32,64,32,1,compute,1,0.00256,0.0,0.002509,0.0,0.0,0.0,0.03,24.000001000000005,24.489797,baseline_sse42_1t,0.002305,26.66,avx512_phys,0.00123,49.95,0.9002250937734435,0.4902862262262262,0.900390625,0.49023515344758867,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b64,64,64,1,compute,1,0.002549,0.0,0.002803,0.0,0.0,0.0,0.06,48.210922000000004,43.83561799999999,avx512_phys,0.002291,53.64,avx512_phys,0.001338,91.84,0.8987867636092469,0.47730420296167236,0.8987838367987446,0.4773457010346058,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b128,64,128,1,compute,1,0.002502,0.0,0.002509,0.0,0.0,0.0,0.12,98.209716,97.959187,avx512_phys,0.001522,161.47,avx512_phys,0.001488,165.16,0.6082226791354431,0.5931168987648341,0.6083133493205436,0.5930649661219609,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b256,64,256,1,compute,1,0.00256,0.0,0.002509,0.0,0.0,0.0,0.25,192.00000500000002,195.918374,avx512_phys,0.003729,131.81,avx512_phys,0.001959,250.9,1.4566421743418558,0.7808623913909924,1.456640625,0.7807891590275009,True,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b512,64,512,1,compute,1,0.002714,0.0,0.002699,0.0,0.0,0.0,0.5,362.264153,364.1967900000001,avx512_logical,0.003609,272.39,avx512_phys,0.002852,344.68,1.329946594955762,1.0566229256121622,1.3297715549005158,1.0566876620970729,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b1024,64,1024,1,compute,1,0.003072,0.0,0.003061,0.0,0.0,0.0,1.0,640.000016,642.341867,avx512_phys,0.003942,498.75,avx512_phys,0.003969,495.36,1.2832080521303257,1.2967172702680878,1.283203125,1.2966350865730154,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b2048,64,2048,1,compute,1,0.003738,0.0,0.003738,0.0,0.0,0.0,2.0,1052.054753,1052.054753,avx512_logical,0.006223,631.88,avx512_logical,0.005958,659.98,1.6649597281129327,1.5940706582017634,1.6647940074906367,1.593900481540931,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b4096,64,4096,1,compute,1,0.004557,0.0,0.004506,0.0,0.0,0.0,4.0,1725.842677,1745.4545319999997,avx512_logical,0.009908,793.73,avx512_logical,0.009849,798.49,2.1743447734116135,2.1859441345539703,2.1742374369102477,2.1857523302263653,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b8192,64,8192,1,compute,1,0.012792,0.0,0.012032,0.0,0.0,0.0,8.0,1229.5684639999997,1307.2340449999997,avx512_logical,0.019161,820.87,avx512_logical,0.018977,828.83,1.497884517645912,1.577204064765995,1.497889305816135,1.577210771276596,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b16384,64,16384,1,compute,1,0.026419,0.0,0.026414,0.0,0.0,0.0,16.0,1190.697741,1190.914032,avx512_logical,0.114806,274.0,avx512_phys,0.115642,272.02,4.345612193430656,4.378038497169325,4.3455846171316095,4.3780570909366245,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b32768,64,32768,1,compute,1,0.05139,0.0,0.051339,0.0,0.0,0.0,32.0,1224.247389,1225.468326,avx512_phys,0.458241,137.3,avx512_phys,0.465009,135.3,8.916586955571741,9.057415565410198,8.916929363689434,9.057617016303395,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n64_b65536,64,65536,1,compute,1,0.100184,0.0,0.100146,0.0,0.0,0.0,64.0,1255.980202,1256.461764,avx512_logical,1.273227,98.83,avx512_phys,1.283563,98.03,12.708491369017505,12.817114801591348,12.70888565040326,12.816917300740919,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b1,128,1,1,compute,1,0.002621,0.0,0.00261,0.0,0.0,0.0,0.0,1.7094019999999999,1.7167380000000003,avx512_phys,7.5e-05,59.73,avx512_phys,6.9e-05,64.93,0.028618818014398126,0.026439827506545513,0.028615032430370085,0.026436781609195402,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b2,128,2,1,compute,1,0.002654,0.0,0.002608,0.0,0.0,0.0,0.0,3.375528,3.4355829999999994,avx512_phys,0.000113,79.29,avx512_phys,0.000109,82.2,0.04257192584184639,0.041795413625304124,0.042577241899020346,0.041794478527607364,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b4,128,4,1,compute,1,0.002714,0.0,0.002613,0.0,0.0,0.0,0.01,6.603773999999999,6.858543000000001,baseline_sse42_1t,0.000585,30.63,avx512_phys,0.00078,22.97,0.2155982370225269,0.29858698302133224,0.21554900515843775,0.2985074626865672,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b8,128,8,1,compute,1,0.002765,0.0,0.002714,0.0,0.0,0.0,0.02,12.962963,13.207547,avx512_phys,0.000897,39.96,avx512_phys,0.000919,39.0,0.32439847347347345,0.33865505128205126,0.3244122965641953,0.33861459100957997,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b16,128,16,1,compute,1,0.002714,0.0,0.002714,0.0,0.0,0.0,0.03,26.415094,26.415094,avx512_phys,0.001787,40.11,avx512_phys,0.001244,57.62,0.6585662926950885,0.45843620270739327,0.6584377302873987,0.4583640383198232,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b32,128,32,1,compute,1,0.002714,0.0,0.002749,0.0,0.0,0.0,0.06,52.830189,52.153666,avx512_logical,0.002763,51.89,avx512_phys,0.001317,108.85,1.0181188861052226,0.47913335783187877,1.018054532056006,0.4790833030192797,True,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b64,128,64,1,compute,1,0.002699,0.0,0.002704,0.0,0.0,0.0,0.12,106.224064,106.03550599999997,avx512_phys,0.001456,196.92,avx512_phys,0.001517,189.0,0.5394275035547431,0.5610344232804231,0.5394590589107077,0.5610207100591716,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b128,128,128,1,compute,1,0.002757,0.0,0.002714,0.0,0.0,0.0,0.25,208.00928999999996,211.320756,avx512_logical,0.002984,192.17,avx512_phys,0.001993,287.73,1.082423323099339,0.7344411635908663,1.082335872324991,0.734340456890199,True,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b256,128,256,1,compute,1,0.002918,0.0,0.002909,0.0,0.0,0.0,0.5,392.98244900000003,394.27943,avx512_logical,0.003652,314.04,avx512_phys,0.002845,403.12,1.251377050694179,0.9780696318714031,1.2515421521590129,0.9779993124785149,True,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b512,128,512,1,compute,1,0.003226,0.0,0.003226,0.0,0.0,0.0,1.0,711.111117,711.111117,avx512_logical,0.004334,529.25,avx512_phys,0.004138,554.32,1.3436204383561645,1.2828530758406695,1.3434593924364537,1.2827030378177309,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b1024,128,1024,1,compute,1,0.003936,0.0,0.003888,0.0,0.0,0.0,2.0,1165.5284049999998,1179.9176420000001,avx512_logical,0.006597,695.39,avx512_logical,0.006619,693.08,1.6760787543680522,1.7024263317365962,1.6760670731707317,1.702417695473251,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b2048,128,2048,1,compute,1,0.005016,0.0,0.004899,0.0,0.0,0.0,4.0,1829.1547689999998,1872.76288,avx512_logical,0.011213,818.25,avx512_logical,0.011044,830.77,2.235447319278949,2.2542495275467336,2.2354465709728872,2.2543376199224334,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b4096,128,4096,1,compute,1,0.013526,0.0,0.01321,0.0,0.0,0.0,8.0,1356.612311,1389.147365,avx512_logical,0.02176,843.29,avx512_logical,0.021407,857.2,1.6087138600007116,1.620563888240784,1.6087535117551384,1.6205147615442845,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b8192,128,8192,1,compute,1,0.027098,0.0,0.027085,0.0,0.0,0.0,16.0,1354.3693560000002,1355.009422,avx512_logical,0.114705,319.95,avx512_logical,0.114706,319.95,4.233065654008439,4.235066172839507,4.232969222820873,4.235037843824995,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b16384,128,16384,1,compute,1,0.051405,0.0,0.051448,0.0,0.0,0.0,32.0,1427.8885009999997,1426.689487,avx512_phys,0.466363,157.39,avx512_phys,0.471262,155.75,9.072294942499521,9.16012511717496,9.072327594591966,9.159967345669413,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b32768,128,32768,1,compute,1,0.100557,0.0,0.100557,0.0,0.0,0.0,64.0,1459.8777599999999,1459.8777599999999,avx512_phys,1.267297,115.84,avx512_phys,1.233255,119.04,12.602535911602208,12.263758064516127,12.6027725568583,12.264238193263523,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n128_b65536,128,65536,1,compute,1,0.198192,0.0,0.198038,0.0,0.0,0.0,128.0,1481.3982369999999,1482.547229,avx512_logical,2.920273,100.54,avx512_logical,2.898782,101.28,14.734416520787745,14.638104551737756,14.734565471865665,14.637503913390361,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b1,256,1,1,compute,1,0.002762,0.0,0.002714,0.0,0.0,0.0,0.0,3.7079950000000004,3.7735849999999997,avx512_phys,0.000169,60.59,avx512_phys,0.000163,62.82,0.06119813500577653,0.06006980261063355,0.06118754525706009,0.06005895357406043,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b2,256,2,1,compute,1,0.002714,0.0,0.002714,0.0,0.0,0.0,0.01,7.5471699999999995,7.5471699999999995,baseline_sse42_1t,0.00063,32.51,baseline_sse42_1t,0.000628,32.61,0.232149184866195,0.23143728917509965,0.23212969786293297,0.2313927781871776,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b4,256,4,1,compute,1,0.002765,0.0,0.002765,0.0,0.0,0.0,0.02,14.814815000000001,14.814815000000001,baseline_sse42_1t,0.001238,33.09,baseline_sse42_1t,0.001244,32.93,0.44771275309761255,0.4498880959611297,0.4477396021699819,0.4499095840867993,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b8,256,8,1,compute,1,0.002816,0.0,0.002765,0.0,0.0,0.0,0.03,29.090909,29.629630000000002,baseline_sse42_1t,0.002472,33.14,avx512_phys,0.001467,55.84,0.8778186179843089,0.5306165830945558,0.8778409090909091,0.5305605786618445,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b16,256,16,1,compute,1,0.002765,0.0,0.002714,0.0,0.0,0.0,0.06,59.259259,60.37735899999999,avx512_logical,0.002427,67.51,avx512_phys,0.001774,92.36,0.8777849059398607,0.6537176158510176,0.877757685352622,0.653647752394989,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b32,256,32,1,compute,1,0.002765,0.0,0.002765,0.0,0.0,0.0,0.12,118.518518,118.518518,avx512_phys,0.001635,200.42,avx512_phys,0.001782,183.88,0.5913507534178226,0.6445427343919948,0.5913200723327305,0.6444846292947558,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b64,256,64,1,compute,1,0.002918,0.0,0.002867,0.0,0.0,0.0,0.25,224.561399,228.57142500000006,avx512_phys,0.003601,181.99,avx512_phys,0.002418,271.03,1.2339216385515688,0.8433436335461022,1.2340644276901989,0.8433903034530867,True,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b128,256,128,1,compute,1,0.003072,0.0,0.003021,0.0,0.0,0.0,0.5,426.666677,433.898292,avx512_logical,0.004166,314.62,avx512_logical,0.003958,331.16,1.356133357701354,1.3102376253170673,1.3561197916666667,1.3101621979476994,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b256,256,256,1,compute,1,0.003277,0.0,0.003226,0.0,0.0,0.0,1.0,800.000002,812.6984190000001,avx512_logical,0.005256,498.75,avx512_logical,0.005345,490.45,1.6040100290726818,1.6570464247119994,1.603906011595972,1.656850588964662,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b512,256,512,1,compute,1,0.003939,0.0,0.003883,0.0,0.0,0.0,2.0,1330.9505080000001,1350.144163,avx512_logical,0.008454,620.17,avx512_logical,0.008382,625.49,2.1461059193446963,2.158538366720491,2.1462300076161465,2.1586402266288953,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b1024,256,1024,1,compute,1,0.00512,0.0,0.005184,0.0,0.0,0.0,4.0,2048.0000520000003,2022.7160550000003,avx512_logical,0.014687,713.95,avx512_logical,0.014716,712.54,2.8685482904965336,2.8387403584360182,2.8685546874999996,2.8387345679012346,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b2048,256,2048,1,compute,1,0.013568,0.0,0.013208,0.0,0.0,0.0,8.0,1545.660321,1587.7891749999997,avx512_logical,0.029379,713.83,avx512_logical,0.028863,726.59,2.165305914573498,2.18526152988618,2.1653154481132075,2.185266505148395,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b4096,256,4096,1,compute,1,0.026989,0.0,0.026555,0.0,0.0,0.0,16.0,1554.090507,1579.4660849999998,avx512_logical,0.11805,355.3,avx512_logical,0.119617,350.64,4.374023380242049,4.504523400068446,4.374004223943088,4.5045000941442295,True,True
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n256_b8192,256,8192,1,compute,1,0.051354,0.0,0.051464,0.0,0.0,0.0,32.0,1633.4995769999998,1629.99542,avx512_phys,0.492055,170.48,avx512_phys,0.495748,169.21,9.58176664124824,9.632973346728916,9.581629473848192,9.632908440851857,True,True
