workload,case,length,batch,core_count,threads_per_core,threads,profile,isa,avg_fwd_ms,avg_fwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,fwd_speedup_vs_c01_t01,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n2048_b1,2048,1,2,1,2,avx512_c02_t02,AVX512,0.001384,81.387283,0.050000,3.8536,1.0499,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,2,2,4,avx512_c02_t04,AVX512,0.001502,74.993342,0.050000,3.5508,0.9674,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,3,1,3,avx512_c03_t03,AVX512,0.001549,72.717883,0.050000,3.4431,0.9380,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,3,2,6,avx512_c03_t06,AVX512,0.001388,81.152738,0.050000,3.8425,1.0468,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,4,1,4,avx512_c04_t04,AVX512,0.001402,80.342368,0.050000,3.8041,1.0364,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,4,2,8,avx512_c04_t08,AVX512,0.001403,80.285103,0.050000,3.8014,1.0356,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,5,1,5,avx512_c05_t05,AVX512,0.001395,80.745520,0.050000,3.8232,1.0416,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,5,2,10,avx512_c05_t10,AVX512,0.001364,82.580645,0.050000,3.9101,1.0652,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,6,1,6,avx512_c06_t06,AVX512,0.001335,84.374532,0.050000,3.9950,1.0884,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,6,2,12,avx512_c06_t12,AVX512,0.001388,81.152738,0.050000,3.8425,1.0468,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,7,1,7,avx512_c07_t07,AVX512,0.001384,81.387283,0.050000,3.8536,1.0499,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,7,2,14,avx512_c07_t14,AVX512,0.001387,81.211247,0.050000,3.8452,1.0476,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,8,1,8,avx512_c08_t08,AVX512,0.001350,83.437037,0.050000,3.9506,1.0763,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,8,2,16,avx512_c08_t16,AVX512,0.001413,79.716914,0.050000,3.7745,1.0283,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,9,1,9,avx512_c09_t09,AVX512,0.001438,78.331015,0.050000,3.7089,1.0104,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,9,2,18,avx512_c09_t18,AVX512,0.001398,80.572246,0.050000,3.8150,1.0393,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,10,1,10,avx512_c10_t10,AVX512,0.001418,79.435825,0.050000,3.7612,1.0247,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,10,2,20,avx512_c10_t20,AVX512,0.001496,75.294118,0.050000,3.5651,0.9713,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,1,1,1,avx512_c01_t01,AVX512,0.008023,66.369189,0.190000,3.1425,1.0000,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,1,2,2,avx512_c01_t02,AVX512,0.014938,35.646003,0.190000,1.6878,0.5371,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,2,1,2,avx512_c02_t02,AVX512,0.014293,37.254600,0.190000,1.7639,0.5613,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,2,2,4,avx512_c02_t04,AVX512,0.013081,40.706368,0.190000,1.9274,0.6133,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,3,1,3,avx512_c03_t03,AVX512,0.011268,47.255946,0.190000,2.2375,0.7120,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,3,2,6,avx512_c03_t06,AVX512,0.012610,42.226804,0.190000,1.9994,0.6362,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,4,1,4,avx512_c04_t04,AVX512,0.009009,59.105339,0.190000,2.7985,0.8906,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,4,2,8,avx512_c04_t08,AVX512,0.009986,53.322652,0.190000,2.5247,0.8034,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,5,1,5,avx512_c05_t05,AVX512,0.009274,57.416433,0.190000,2.7186,0.8651,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,5,2,10,avx512_c05_t10,AVX512,0.010359,51.402645,0.190000,2.4338,0.7745,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,6,1,6,avx512_c06_t06,AVX512,0.009415,56.556559,0.190000,2.6779,0.8522,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,6,2,12,avx512_c06_t12,AVX512,0.010201,52.198804,0.190000,2.4715,0.7865,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,7,1,7,avx512_c07_t07,AVX512,0.009621,55.345598,0.190000,2.6205,0.8339,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,7,2,14,avx512_c07_t14,AVX512,0.009724,54.759358,0.190000,2.5928,0.8251,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,8,1,8,avx512_c08_t08,AVX512,0.008704,61.176471,0.190000,2.8966,0.9218,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,8,2,16,avx512_c08_t16,AVX512,0.009846,54.080845,0.190000,2.5606,0.8148,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,9,1,9,avx512_c09_t09,AVX512,0.008905,59.795620,0.190000,2.8312,0.9010,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,9,2,18,avx512_c09_t18,AVX512,0.011754,45.302025,0.190000,2.1450,0.6826,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,10,1,10,avx512_c10_t10,AVX512,0.009001,59.157871,0.190000,2.8010,0.8913,1,0,1,0,0,incomplete,missing_check
throughput,n8192_b1,8192,1,10,2,20,avx512_c10_t20,AVX512,0.009456,56.311337,0.190000,2.6663,0.8485,1,0,1,0,0,incomplete,missing_check
